"","bc","cc","ec"
"368074",22669,6.19218468003907e-09,1.59859899833181e-17
"368075",27573,6.16268594356346e-09,3.62938182717072e-17
"368077",27231,6.03652160021661e-09,0
"368078",354020,6.02548008185917e-09,0
"368079",76461,7.33852990107619e-09,2.28448443049138e-17
"368081",720494,6.92648072924782e-09,0
"368082",3904077,6.84046773439292e-09,1.7048287003594e-17
"368083",3677227,6.74910791734522e-09,0
"368084",2020151,6.85636161416835e-09,0
"368086",694853,7.3745385853526e-09,2.17959375906138e-17
"368092",220761,7.70117077249234e-09,0
"368093",43952,7.74345818089999e-09,3.8681766507067e-17
"368094",3816561,7.64629571958823e-09,0
"368096",3781,7.62610981144802e-09,2.56787500142971e-17
"368125",4445004,8.70944609390429e-09,1.09144273688534e-07
"368126",2924651,8.88669043173556e-09,8.73376742127875e-12
"368133",5073938,9.14997433205557e-09,2.44292201483449e-08
"368137",1709224,8.79428999115131e-09,0
"368138",30631,8.71849440501784e-09,0
"368139",63112,8.68326241266215e-09,3.68333204650528e-18
"368140",115430,8.67872486583264e-09,5.07930343658456e-09
"368141",119198,8.67948899455841e-09,9.14358584008543e-08
"368142",1128386,8.72432267067539e-09,5.90557242848958e-09
"368143",1369764,8.83627626589809e-09,9.21489332209131e-07
"368145",4022720,8.77475584428142e-09,7.57439876980501e-15
"368146",8697299,8.69191521384512e-09,0
"368147",1561655,8.73056157189811e-09,4.86948001259218e-16
"368175",5278718,8.53688859136636e-09,1.90418990484961e-11
"368179",12260006,8.82504246047251e-09,6.70028199818471e-15
"368180",17907532,9.09774308028226e-09,1.19615859018334e-11
"368190",983599,8.82258183077874e-09,2.79720268920676e-14
"368195",2145189,8.48923060202322e-09,2.62120528726112e-08
"368204",12302349,9.00818474048161e-09,2.59166706631907e-17
"368205",2112523,8.73566521660579e-09,9.7567516692921e-16
"368207",20955240,8.70231655835837e-09,9.23671761232245e-17
"368232",8704289,8.53693206576554e-09,7.18701619170895e-18
"368233",7916290,8.39380247020337e-09,0
"368243",35150002,8.49004780060059e-09,1.0398927762233e-07
"368247",3825265,8.1628353922052e-09,1.91706301469652e-09
"368248",4275183,7.91898469601812e-09,1.85884478370716e-10
"368249",1912316,8.04110457157361e-09,0
"368250",55496,8.42906499751386e-09,3.07109642762992e-07
"368252",1899718,8.34297459400668e-09,5.21288488010977e-14
"368254",161229,7.88962076564913e-09,7.21460046844711e-16
"368272",5950659,7.33468611802753e-09,1.45913985272688e-18
"368273",2247227,7.43819875317496e-09,0
"368274",59862,7.28127787583241e-09,0
"368286",1029603,7.09486880847312e-09,1.69862173866162e-17
"368288",353680,7.00382984263509e-09,0
"368305",3935447,6.62544288352017e-09,0
"368307",3688320,6.86316174157942e-09,2.67986679505741e-17
"368308",63512,7.00864523060092e-09,2.37383911639106e-17
"368310",52398,6.95732444746437e-09,2.55172567360443e-17
"368313",32235,6.90691549204684e-09,2.42144982788219e-17
"368318",50661,6.82867111125074e-09,2.76808057238212e-18
"368319",70463,6.98753771552319e-09,2.79850090511746e-17
"368320",104924,7.06567222017649e-09,3.13762112820156e-17
"368321",94499,7.09282902680797e-09,0
"368322",25354,7.10903717793717e-09,4.32498785157264e-17
"368323",102500,7.05964958146548e-09,3.05731711645263e-17
"368325",93844,7.10104148776211e-09,4.5852780076589e-18
"368335",3495285,6.90061821031049e-09,1.19806558712219e-17
"368337",415848,7.05773026497663e-09,2.01211582434142e-17
"368338",692520,7.33856536945673e-09,1.71441536176521e-17
"368341",4953249,7.67576782506548e-09,4.46859162741854e-18
"382015",2098645,6.54913248503023e-09,1.0571454369238e-18
"382016",2844489,6.47348978887426e-09,2.70674774297275e-17
"382017",1347579,6.38669301148733e-09,0
"382019",962113,6.43012367615744e-09,0
"382021",645754,6.33788286044961e-09,0
"382026",3503235,6.74846455615018e-09,2.8165978267065e-17
"382027",603518,6.96915479321303e-09,3.22924328699781e-18
"382029",16640,7.11411449731152e-09,1.17309640489632e-17
"382036",2075750,7.05129711359858e-09,0
"382038",1760760,7.09129512698935e-09,4.48941558617599e-19
"382039",44901,7.15567052819822e-09,3.58904847804986e-18
"382045",504056,7.35372221112808e-09,0
"382046",4838839,7.52086362110755e-09,3.28539787113891e-17
"382049",11161829,7.63817788513179e-09,5.15814817586494e-18
