"","u","v"
"538","792989","8051621735"
"539","792991","659959429"
"540","1688996","366596"
"541","1688996","8222344172"
"542","1689006","366595"
"543","1689006","8236688553"
"544","1689008","1689010"
"545","1689008","8093259532"
"546","1689010","8514412812"
"547","1689010","1688996"
"548","1689013","1689012"
"549","1689016","9509756795"
"550","1689027","8068619045"
"551","1689027","382026"
"552","1689029","2602173255"
"553","1689030","366594"
"554","1689033","15035535"
"555","2035302","4958110958"
"556","4616525","6584437797"
"557","4616528","4508646363"
"558","4616532","25203578"
"559","4616532","7401548414"
"560","4616537","583327934"
"561","4616537","25625757"
"562","4616541","925427454"
"563","4616541","1893476494"
"564","4616542","25625024"
"565","4616553","4484565698"
"566","4616555","988246433"
"567","4616562","6431721942"
"568","4616563","25580477"
"569","4616565","25580455"
"570","4616566","3382505809"
"571","4616567","246842023"
"572","4616570","7643981453"
"573","7304705","10111437042"
"574","7304709","2462158559"
"575","7304712","4545568853"
"576","7304714","365929702"
"577","7304715","277543661"
"578","7304716","277543667"
"579","8809431","1921582934"
"580","8809431","420555352"
"581","8809434","15378831"
"582","8809435","2626551402"
"583","8809436","1447531179"
"584","8809436","15378820"
"585","8809437","8596036822"
"586","8809438","1306180526"
"587","8809439","152740785"
"588","8809441","248492126"
"589","8809441","1307319126"
"590","8809442","8809437"
"591","8809445","5528037495"
"592","8809445","151362735"
"593","8809447","327517717"
"594","8809450","458367263"
"595","8809450","8809449"
"596","8809451","178888599"
"597","14798299","675140522"
"598","14798301","160648013"
"599","14798302","3035151075"
"600","14798303","116120011"
"601","14798304","684474620"
"602","14798305","644085"
"603","14798307","14798308"
"604","14798308","34818650"
"605","14798308","34818778"
"606","14798310","260611411"
"607","14798311","34819375"
"608","14798315","392014570"
"609","14802818","29414562"
"610","14803153","2406737483"
"611","14803158","2406748780"
"612","14803160","428918264"
"613","14803160","2406748794"
"614","14803161","2406748772"
"615","14803162","1188299881"
"616","14803165","4065408143"
"617","14803165","2406748806"
"618","14803174","1699824267"
"619","14803176","5548885802"
"620","14950166","195408460"
"621","14950168","65282584"
"622","14950168","367991"
"623","14950170","1395428384"
"624","14950175","2064552376"
"625","14950176","1284603862"
"626","14950176","1284603858"
"627","14950238","15378825"
"628","14956508","15859501"
"629","14956512","5728444670"
"630","14956512","382045"
"631","14956513","14956516"
"632","14956515","432807843"
"633","14956516","268220945"
"634","14956517","6807716517"
"635","14956518","319177740"
"636","14956520","319178784"
"637","14956521","268220933"
"638","14956522","14956521"
"639","14956525","268220967"
"640","14956526","268220967"
"641","14956529","500414127"
"642","14956530","365929710"
"643","14956530","4562201327"
"644","14956531","1455771826"
"645","14956532","472351951"
"646","14956533","14956542"
"647","14956534","257936418"
"648","14956535","1770052021"
"649","14956536","14956535"
"650","14956537","390248"
"651","14956538","1630580980"
"652","14956542","14956532"
"653","14956544","9386410849"
"654","14956545","472351950"
"655","14956545","14956537"
"656","14956546","14956545"
"657","14956548","169306587"
"658","14956550","1419661044"
"659","14956550","1837882501"
"660","14956555","268209135"
"661","14956555","14956551"
"662","14956567","10124076553"
"663","14956567","327543742"
"664","14956569","14956570"
"665","14956570","65280686"
"666","15032394","15032401"
"667","15032394","15032400"
"668","15032400","2573654822"
"669","15032402","15032401"
"670","15032404","5467645876"
"671","15032405","6428558534"
"672","15032421","8530346690"
"673","15033822","366603"
"674","15035501","15035503"
"675","15035503","15035504"
"676","15035504","15035509"
"677","15035509","9659338682"
"678","15035512","6193223788"
"679","15035516","2573654757"
"680","15035518","5467645871"
"681","15035518","5586413753"
"682","15035521","721091126"
"683","15035522","721091127"
"684","15035526","15035527"
"685","15035529","721091123"
"686","15035530","482835126"
"687","15035533","8078713172"
"688","15035533","8078713173"
"689","15035534","15035533"
"690","15035535","8078713164"
"691","15035538","8068619051"
"692","15035539","15035541"
"693","15035540","15035539"
"694","15035546","259643630"
"695","15035546","8222344179"
"696","15035547","15035553"
"697","15035553","9817958337"
"698","15035556","1543414796"
"699","15035558","10111437038"
"700","15035558","360930"
"701","15035563","2301514710"
"702","15035571","7304705"
"703","15035572","15035571"
"704","15035573","721091128"
"705","15035574","15035573"
"706","15035576","8121110487"
"707","15035576","8093259562"
"708","15127444","429173678"
"709","15127457","3108013012"
"710","15127458","1110255851"
"711","15127458","408770901"
"712","15127463","770220091"
"713","15378799","9544536905"
"714","15378800","7129648941"
"715","15378800","6274467156"
"716","15378800","1395333979"
"717","15378802","1425637956"
"718","15378803","15378805"
"719","15378804","15378803"
"720","15378805","14950172"
"721","15378807","4170526437"
"722","15378811","3102594482"
"723","15378812","15378813"
"724","15378813","15378847"
"725","15378813","15378814"
"726","15378814","15378815"
"727","15378815","15378823"
"728","15378818","15378812"
"729","15378819","15378818"
